,actor
0,LockBit 2.0
1,Conti
2,Pysa (Mespinoza)
3,REvil Sodinokibi
4,MAZE
5,Egregor
6,DoppelPaymer
7,Avaddon
8,NetWalker
9,HiveLeaks
10,Alphav (BlackCat)
11,CL0P
12,Everest
13,DarkSide
14,Grief
15,LV
16,Vice Society
17,Marketo
18,Dark Leak Market
19,Cuba
20,Ragnar Locker
21,WannaCry
22,BlackBasta
23,Prometheus
24,Ragnarok
25,Snatch
26,Lorenz
27,BABUK LOCKER
28,RansomEXX
29,Nefilim
30,Suncrypt
31,BlackMatter
32,Spook
33,Payload.bin
34,CoomingProject
35,BlackByte
36,XING LOCKER
37,Avos Locker
38,Mount Locker
39,Astro Team
40,Sabbath
41,SynACK
42,LockBit
43,AKO
44,Team Snatch
45,Sekhmet
46,Pay2Key
47,RansomHouse
48,Noname
49,N3tw0rm
50,Ranzy Locker
51,NEMTY
