,actor
0,777 Ransom
0,AES_NI Ransom
0,Agent.iih Ransom
0,Alcatraz Ransom
0,Alpha Ransom
0,Amnesia Ransom
0,Amnesia2  Ransom
0,Annabelle Ransom
0,AstraLocker Ransom
0,AtomSilo Ransom
0,Aura Ransom
0,Aurora Ransom
0,AutoIt Ransom
0,AutoLocky Ransom
0,Avaddon Ransom
0,Avest Ransom
0,BTCWare Ransom
0,Babuk Ransom
0,BadBlock Ransom
0,BarRax Ransom
0,Bart Ransom
0,BigBobRoss Ransom
0,Bitcryptor Ransom
0,CERBER V1 Ransom
0,Chaos Ransom
0,CheckMail7 Ransom
0,Chernolocker Ransom
0,Chimera Ransom
0,Coinvault Ransom
0,Cry128 Ransom
0,Cry9 Ransom
0,CryCryptor Ransom
0,CrySIS Ransom
0,Cryakl Ransom
0,Crybola Ransom
0,Crypt32 Ransom
0,Crypt888 Ransom
0,CryptON Ransom
0,CryptXXX V1 Ransom
0,CryptXXX V2 Ransom
0,CryptXXX V3 Ransom
0,CryptXXX V4 Ransom
0,CryptXXX V5 Ransom
0,CryptoMix Ransom
0,Cryptokluchen Ransom
0,Cyborg Ransom
0,DXXD Ransom
0,Daivol ransomware Ransom
0,Damage Ransom
0,Darkside Ransom
0,Democry Ransom
0,Derialock Ransom
0,Dharma Ransom
0,DragonCyber Ransom
0,ElvisPresley  Ransom
0,EncrypTile Ransom
0,Everbe 1.0 Ransom
0,FONIX Ransom
0,FenixLocker Ransom
0,FilesLocker v1 and v2 Ransom
0,FortuneCrypt Ransom
0,Fury Ransom
0,GalactiCryper Ransom
0,"GandCrab (V1, V4 and V5 up to V5.2 versions) Ransom"
0,GetCrypt Ransom
0,Globe Ransom
0,Globe/Purge Ransom
0,Globe2 Ransom
0,Globe3 Ransom
0,GlobeImposter Ransom
0,GoGoogle Ransom
0,Gomasom Ransom
0,HKCrypt Ransom
0,Hakbit Ransom
0,HermeticRansom Ransom
0,HiddenTear Ransom
0,HildaCrypt Ransom
0,Hive (v1 to v4) Ransom
0,Iams00rry Ransom
0,InsaneCrypt  Ransom
0,Iwanttits Ransom
0,JSWorm 2.0 Ransom
0,JSWorm 4.0 Ransom
0,Jaff Ransom
0,JavaLocker Ransom
0,Jigsaw Ransom
0,Judge Ransom
0,Kokokrypt Ransom
0,LECHIFFRE Ransom
0,LambdaLocker Ransom
0,Lamer Ransom
0,Linux.Encoder.1 Ransom
0,Linux.Encoder.3 Ransom
0,LockFile Ransom
0,LockerGoga Ransom
0,Loocipher Ransom
0,Lorenz Ransom
0,Lortok Ransom
0,MacRansom Ransom
0,MafiaWare666 Ransom
0,Magniber Ransom
0,Mapo Ransom
0,Marlboro Ransom
0,Marsjoke aka Polyglot Ransom
0,Maze / Sekhmet / Egregor Ransom
0,MegaCortex Ransom
0,MegaLocker Ransom
0,Merry X-Mas Ransom
0,MirCop Ransom
0,Mira Ransom
0,Mole Ransom
0,Muhstik Ransom
0,Nemty Ransom
0,Nemucod Ransom
0,NemucodAES Ransom
0,Nmoreira Ransom
0,NoWay Ransom
0,Noobcrypt Ransom
0,Onyx2 Ransom
0,Ouroboros Ransom
0,Ozozalocker Ransom
0,Paradise Ransom
0,Pewcrypt Ransom
0,Philadelphia Ransom
